구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
공통,1,대학전체,1016,컴퓨팅사고와코딩,1,1-0-0,이건직,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1017,컴퓨팅사고와코딩,1,1-0-0,김종완,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1018,컴퓨팅사고와코딩,1,1-0-0,염석원,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1019,컴퓨팅사고와코딩,1,1-0-0,이건직,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1020,컴퓨팅사고와코딩,1,1-0-0,염석원,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1021,컴퓨팅사고와코딩,1,1-0-0,염석원,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1022,컴퓨팅사고와코딩,1,1-0-0,김순철,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1023,컴퓨팅사고와코딩,1,1-0-0,김수연,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1024,컴퓨팅사고와코딩,1,1-0-0,홍원기,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1025,컴퓨팅사고와코딩,1,1-0-0,남흥우,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1033,창업과진로설계,1,1-0-0,류혜경,,본교가상본교가상,진로·취업,
,,대학전체,1034,DU진로탐색,1,1-0-0,,화(14:00-14:50),경영대강당,진로·취업,블렌디드러 닝
,,대학전체,1035,DU진로탐색,1,1-0-0,,수(14:00-14:50),경영대강당,진로·취업,블렌디드러 닝
,2,대학전체,1001,독일어,2,2-0-0,서요성,화(14:00-15:50),인문1관-12,글로벌의사 소통,
,,대학전체,1002,일본어,2,2-0-0,타케시타 치카,수(10:00-11:50),인문2관-22,글로벌의사 소통,
,,대학전체,1003,중국어,2,2-0-0,정민녀,월(12:00-13:50),인문1관-12,글로벌의사 소통,
,,대학전체,1004,중국어,2,2-0-0,정민녀,수(12:00-13:50),인문1관-12,글로벌의사 소통,
,,대학전체,1005,중국어,2,2-0-0,정민녀,화(14:00-15:50),인문1관-12,글로벌의사 소통,
,,대학전체,1006,중국어,2,2-0-0,정민녀,목(14:00-15:50),인문1관-12,글로벌의사 소통,
,,대학전체,1007,중국어,2,2-0-0,정민녀,수(10:00-11:50),인문1관-13,글로벌의사 소통,
,,대학전체,1008,중국어,2,2-0-0,정민녀,월(14:00-15:50),경영1관-12,글로벌의사 소통,
,,대학전체,1009,프랑스어,2,2-0-0,베로니크 엘리아스,월(12:00-13:50),인문1관-13,글로벌의사 소통,
,,대학전체,1010,프랑스어,2,2-0-0,베로니크 엘리아스,화(12:00-13:50),인문1관-13,글로벌의사 소통,
,,대학전체,1011,프랑스어,2,2-0-0,베로니크 엘리아스,수(12:00-13:50),인문1관-13,글로벌의사 소통,
,,대학전체,1012,러시아어,2,2-0-0,이규환,수(10:00-11:50),인문1관-12,글로벌의사 소통,
,,대학전체,1013,스페인어,2,2-0-0,헥트 크리 스탈 리,월(14:00-15:50),생과2관-12,글로벌의사 소통,
,,대학전체,1014,스페인어,2,2-0-0,헥트 크리 스탈 리,화(10:00-11:50),인문2관-24,글로벌의사 소통,
,,대학전체,1015,스페인어,2,2-0-0,헥트 크리 스탈 리,목(10:00-11:50),인문2관-24,글로벌의사 소통,
공통,2,대학전체,1026,생활속인공지능,1,1-0-0,유성은,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1027,생활속인공지능,1,1-0-0,김종완,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1028,생활속인공지능,1,1-0-0,여준호,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1029,생활속인공지능,1,1-0-0,홍원기,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1030,생활속인공지능,1,1-0-0,김지연,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1031,생활속인공지능,1,1-0-0,최용호,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,1032,생활속인공지능,1,1-0-0,이미란,,DU∼MOO DU∼MOOC,AI·SW,C
,,대학전체,3939,일본어,2,2-0-0,,목(13:00-14:50),경영1관-13,글로벌의사 소통,
균형,1,대학전체,1036,기초화학,3,3-0-0,이성호,과학·기술월(16:30-17:45) | 수(16:30-17:45),공학1관-02,,
,,대학전체,1037,인간관계의이해,3,3-0-0,최웅용,사회·문화화(12:00-13:15) | 목(12:00-13:15),사과1관-14,,
,,대학전체,1038,숲과문화,3,3-0-0,이덕재,과학·기술월(16:30-17:45) | 수(16:30-17:45),생과5관-24,,
,,대학전체,1039,기초수학,3,3-0-0,남세현,과학·기술월(16:30-17:45) | 수(16:30-17:45),공학5관-52,,
,,대학전체,1040,기초수학,3,3-0-0,김래용,화(12:00-13:15),경영1관-13,과학·기술,블렌디드러 닝
,,대학전체,1041,기초수학,3,3-0-0,황근보,과학·기술화(13:30-14:45) | 목(15:00-16:15),공학1관-02,,
,,대학전체,1042,최근국제관계의이해,2,2-0-0,레슬리 멕 코이,사회·문화월(14:00-15:50),생과1관-14,,
,,대학전체,1043,세계문학,2,2-0-0,도란 코너 마이클,문학·예술화(14:00-15:50),생과2관-11,,
,,대학전체,1044,디지털사진의이해와,,,활용 2 1-2-0 박영식,여가·체육화(12:00-14:50),경영1관-14,,
,,대학전체,1045,격동하는한국현대사,3,3-0-0,박재영,,DU∼MOO DU∼MOOC,역사·철학,C
,,대학전체,1046,자연재해와문명,3,3-0-0,이길하,과학·기술금(09:00-10:15) | 금(10:30-11:45),인문1관-14,,
,,대학전체,1047,디지털융합생태계,3,3-0-0,박세현,과학·기술월(15:00-16:15) | 수(13:30-14:45),공학6관-64,,
,,대학전체,1048,프랑스문화이해,3,3-0-0,베로니크 엘리아스,사회·문화화(16:30-17:45) | 목(16:30-17:45),인문1관-14,,
,,대학전체,1049,프랑스문화이해,3,3-0-0,베로니크 엘리아스,사회·문화월(16:30-17:45) | 수(16:30-17:45),인문1관-14,,
,,대학전체,1050,동양철학과하이브리,,,3 3-0-0 양승권,,DU∼MOO DU∼MOOC,드문화 역사·철학,C
,,대학전체,1051,고대그리스철학,3,3-0-0,C,,DU∼MOO DU∼MOOC,역사·철학,변상출
,,대학전체,1052,고대그리스철학,3,3-0-0,,,DU∼MOO DU∼MOOC,역사·철학,"변상출 C,외국인"
,,대학전체,1053,컴퓨팅적사고와융합,,,적문제해결 3 3-0-0 조익성,,DU∼MOO DU∼MOOC,과학·기술,C
,,대학전체,1054,"클라시카,호메로스,",,,일리아드오디세이아 3 3-0-0 조혜경,수(09:00-10:15),인문1관-12,문학·예술,블렌디드러 닝
,,대학전체,1055,오디세이프로젝트3,,,전쟁과평화 3 3-0-0 전용숙,,본교가상본교가상,문학·예술,
균형,1,대학전체,1056,영어인문학,3,3-0-0,강민건,문학·예술월(12:00-13:15) | 수(12:00-13:15),사범1관-12,,
,,대학전체,1058,클래식로드,3,3-0-0,조혜경,화(12:00-13:15),인문1관-12,문학·예술,블렌디드러 닝
,,대학전체,1059,동아시아수도인문기,,,행 3 3-0-0,,DU∼MOO DU∼MOOC,사회·문화,권응상 C
,,대학전체,1060,청각이해와재활,3,3-0-0,허승덕,,K∼MOOCK∼MOOC,과학·기술,
,,대학전체,1061,"문학,영화를만나다",3,3-0-0,하수정,문학·예술화(13:30-14:45) | 목(15:00-16:15),인문1관-12,,
,,대학전체,1062,지구를여행하는예술·,,,디자인안내서 3 3-0-0 정석연,문학·예술화(13:30-14:45) | 목(15:00-16:15),경영1관-13,,
,,대학전체,1063,AI시대기술과윤리,3,3-0-0,김현숙,,DU∼MOO DU∼MOOC,과학·기술,C
,,대학전체,1064,동아시아항도인문기,,,행 3 3-0-0,,DU∼MOO DU∼MOOC,사회·문화,권응상 C
,,대학전체,1065,뮤지컬의이해와감상,3,3-0-0,김수연,문학·예술금(13:30-14:45) | 금(15:00-16:15),공학5관-51,,
,,대학전체,1066,어휘로본영미문화,3,3-0-0,이은석,사회·문화화(15:00-16:15) | 목(13:30-14:45),인문2관-22,,
,,대학전체,1067,글램핑,2,1-2-0,최종필,집중수업월(12:00-14:50),인문1관-14,여가·체육,
,,대학전체,1068,대학화학기초,3,3-0-0,심준호,수(12:00-13:15),생과2관-11,과학·기술,블렌디드러 닝
,,대학전체,1069,디지털트랜스포메이,,,션과위치정보 3 3-0-0 양성철,,DU∼MOO DU∼MOOC,과학·기술,C
,,대학전체,1070,파이썬을이용한AI기,,,초수학 3 3-0-0 김재준,화(13:30-14:45),공학5관-51,과학·기술,블렌디드러 닝
,,대학전체,1072,DU뉴스포츠,2,1-2-0,최봉암 평교골프장,여가·체육수(09:00-11:50),,,
,,대학전체,1073,DU테니스,2,1-2-0,조민행 테니스장,여가·체육수(13:00-15:50),,,
,,대학전체,1074,우주의이해,3,3-0-0,안성호,과학·기술화(13:30-14:45) | 목(15:00-16:15),사범1관-12,,
,,대학전체,1075,일상에서찾아보는자,,,료구조의원리 3 3-0-0 차경애,,K∼MOOCK∼MOOC,과학·기술,
,,대학전체,1076,영화속의경제학,3,3-0-0,박길환 공공인재-강,사회·문화월(16:30-17:45) | 수(16:30-17:45),,,
,,대학전체,1077,스포츠클라이밍입문,2,1-2-0,박재암,여가·체육월(09:00-11:50),인문1관-14,,
,,대학전체,3899,AI입문,3,3-0-0,김희철,,외부가상외부가상,과학·기술,
,,대학전체,3900,생활속의반도체,3,3-0-0,허경섭,,외부가상외부가상,과학·기술 문화콘텐츠학부,
공통,1,문화콘텐츠,1196,AI시대대학생활(1),1,1-0-0,서요성,인성(필)목(11:00-11:50),인문1관-13,,
